시군구,센터명,읍면동,연락처,주소
진해구,자은동행정복지센터,자은동,055-548-6550,(51647) 창원시 진해구 덕산로51번길 12
진해구,덕산동행정복지센터,덕산동,055-548-6600,(51648) 창원시 진해구 동진로157번길 5
진해구,풍호동행정복지센터,풍호동,055-548-6650,(51654) 창원시 진해구 진해대로1034번길 6
진해구,웅천동행정복지센터,웅천동,055-548-6700,(51621) 창원시 진해구 웅천중로 59
진해구,웅동1동행정복지센터,웅동1동,055-548-6750,(51598) 창원시 진해구 웅동로57번가길 6
진해구,웅동2동행정복지센터,웅동2동,055-548-6800,(51604) 창원시 진해구 용재로 46
진주시,,,,(52789) 진주시 동진로 155 (상대동)
진주시,문산읍사무소,문산읍,055-749-3019,(52834) 진주시 문산읍 동부로587번길 12
진주시,내동면사무소,내동면,055-749-3039,(52849) 진주시 내동면 순환로 389
진주시,정촌면사무소,정촌면,055-749-3072,(52845) 진주시 정촌면 정촌로 57
진주시,금곡면사무소,금곡면,055-749-3102,(52843) 진주시 금곡면 월아산로 140
진주시,진성면사무소,진성면,055-749-3135,(52621) 진주시 진성면 동부로 1329
진주시,일반성면사무소,일반성면,055-749-3170,(52616) 진주시 일반성면 동부로1959번길 2
진주시,이반성면사무소,이반성면,055-719-3194,(52614) 진주시 이반성면 오봉산로 719
진주시,사봉면사무소,사봉면,055-749-3712,(52611) 진주시 사봉면 사군로 105
진주시,지수면사무소,지수면,055-749-3744,(52610) 진주시 지수면 지수로 483
진주시,대곡면사무소,대곡면,055-749-3778,(52607) 진주시 대곡면 진의로 1094
진주시,금산면사무소,금산면,055-749-3803,(52630) 진주시 금산면 금산로 107
진주시,집현면사무소,집현면,055-749-3832,(52639) 진주시 집현면 진산로 697
진주시,미천면사무소,미천면,055-749-3858,(52602) 진주시 미천면 오방로 731
진주시,명석면사무소,명석면,055-749-3897,(52642) 진주시 명석면 광제산로 37
진주시,대평면사무소,대평면,055-749-3922,(52643) 진주시 대평면 한들길 44
진주시,수곡면사무소,수곡면,055-749-3951,(52645) 진주시 수곡면 곤수로 972
진주시,천전동행정복지센터,천전동,055-749-4023,"(52711) 진주시 망경남길44번길 22, 지식산업센터 1층"
진주시,성북동행정복지센터,성북동,055-749-4052,(52682) 진주시 진주대로1143번길 3
진주시,중앙동행정복지센터,중앙동,055-749-4096,(52758) 진주시 진주대로1032번길 14
진주시,상봉동행정복지센터,상봉동,055-749-4147,(52657) 진주시 진주성로 111
진주시,상대동행정복지센터,상대동,055-749-4192,(52784) 진주시 동진로 189
진주시,하대동행정복지센터,하대동,055-749-4262,(52766) 진주시 모덕로 305
진주시,상평동행정복지센터,상평동,055-749-4289,(52805) 진주시 솔밭로80번길 18
진주시,초장동행정복지센터,초장동,055-749-4427,(52734) 진주시 초장로14번길 14
진주시,평거동행정복지센터,평거동,055-749-4443,(52699) 진주시 평거로40번길 5
진주시,신안동행정복지센터,신안동,055-749-4475,(52695) 진주시 진양호로 360
진주시,이현동행정복지센터,이현동,055-749-4495,(52668) 진주시 평거로 287
진주시,판문동행정복지센터,판문동,055-749-4520,(52704) 진주시 새평거로 55
진주시,가호동행정복지센터,가호동,055-749-4550,(52822) 진주시 가좌길74번길 9
진주시,충무공동행정복지센터,충무공동,055-749-3982,(52853) 진주시 충의로 145
통영시,,,,(53040) 통영시 통영해안로 515(무전동) 
통영시,산양읍사무소,산양읍,055-650-3512,(53083) 통영시 산양읍 산양일주로 1683-25
통영시,용남면사무소,용남면,055-650-3531,(53027) 통영시 용남면 달포큰길 28
통영시,도산면사무소,도산면,055-650-3550,(53003) 통영시 도산면 도산일주로 30-2
통영시,광도면행정복지센터,광도면,055-650-3570,(53012) 통영시 광도면 노산길 115
통영시,욕지면사무소,욕지면,055-650-3599,(53100) 통영시 욕지면 중촌길 193
통영시,한산면사무소,한산면,055-650-3611,(53092) 통영시 한산면 한산일주로 844
통영시,사량면사무소,사량면,055-650-3634,(53103) 통영시 사량면 상도일주로 1580-13
통영시,도천동행정복지센터,도천동,055-650-3642,(53064) 통영시 평인일주로 36
통영시,명정동주민센터,명정동,055-650-3675,(53061) 통영시 충렬로 6
통영시,중앙동주민센터,중앙동,055-650-3693,(53052) 통영시 동문로 28-1
통영시,정량동주민센터,정량동,055-650-3712,(53051) 통영시 장좌로 28
통영시,북신동행정복지센터,북신동,055-650-3732,(53046) 통영시 여황로 403-6
통영시,무전동주민센터,무전동,055-650-3751,(53037) 통영시 안개4길 53
통영시,미수동주민센터,미수동,055-650-3811,(53070) 통영시 미수해안로 51-1
통영시,봉평동행정복지센터,봉평동,055-650-3752,(53074) 통영시 도남로 185
사천시,,,,(52539) 사천시 용현면 시청로 77
사천시,사천읍행정복지센터,사천읍,055-831-5015,(52517) 사천시 사천읍 무산로 21
사천시,정동면행정복지센터,정동면,055-831-5061,(52523) 사천시 정동면 상정대로 2540-39
사천시,사남면행정복지센터,사남면,055-831-5087,(52536) 사천시 사남면 진삼로 1108
사천시,용현면행정복지센터,용현면,055-831-5115,(52539) 사천시 용현면 진삼로 637
사천시,축동면행정복지센터,축동면,055-831-5146,(52510) 사천시 축동면 서삼로 1727
사천시,곤양면행정복지센터,곤양면,055-831-5176,(52504) 사천시 곤양면 성내공원길 11
사천시,곤명면행정복지센터,곤명면,055-831-5206,(52500) 사천시 곤명면 원전새길 64
사천시,서포면행정복지센터,서포면,055-831-5236,(52543) 사천시 서포면 자구로 465-17
사천시,동서동행정복지센터,동서동,055-831-5253,(52569) 사천시 수남길 102
사천시,선구동행정복지센터,선구동,055-831-5283,(52557) 사천시 각산로 22
사천시,동서금동행정복지센터,동서금동,055-831-5313,(52566) 사천시 신항로 25
사천시,벌용동행정복지센터,벌용동,055-831-5355,(52552) 사천시 벌용길 60
사천시,향촌동행정복지센터,향촌동,055-831-5376,(52563) 사천시 향촌5길 28
사천시,남양동행정복지센터,남양동,055-831-5408,(52547) 사천시 임내안길 65
김해시,,,,(50924) 김해시 김해대로 2401(부원동)
김해시,진영읍행정복지센터,진영읍,055-359-0708,(50865) 김해시 진영읍 여래로20번길 11
김해시,주촌면행정복지센터,주촌면,055-359-0783,(50968) 김해시 주촌면 서부로1638번길 12
김해시,진례면행정복지센터,진례면,055-359-1026,(50874) 김해시 진례면 진례로 241
김해시,한림면행정복지센터,한림면,055-359-1061,(50848) 김해시 한림면 한림로 369
김해시,생림면행정복지센터,생림면,055-359-1415,(50801) 김해시 생림면 봉림로 40
김해시,상동면행정복지센터,상동면,055-359-1453,(50805) 김해시 상동면 상동로 554
김해시,대동면행정복지센터,대동면,055-359-1496,(50809) 김해시 대동면 대동로 610
김해시,동상동행정복지센터,동상동,055-359-1521,(50915) 김해시 호계로517번길 8
김해시,회현동행정복지센터,회현동,055-359-1556,(50920) 김해시 가락로63번길 33
김해시,부원동행정복지센터,부원동,055-359-1585,(50924) 김해시 김해대로2371번길 24-16
김해시,내외동행정복지센터,내외동,055-359-1617,(50952) 김해시 내외로 67
김해시,북부동행정복지센터,북부동,055-359-1687,(50901) 김해시 해반천로 160
김해시,칠산서부동행정복지센터,칠산서부동,055-359-1846,(50964) 김해시 전하로 99
김해시,활천동행정복지센터,활천동,055-359-1885,(50933) 김해시 인제로11번길 51
김해시,삼안동행정복지센터,삼안동,055-359-7527,(50818) 김해시 활천로255번길 12
김해시,불암동행정복지센터,불암동,055-359-7557,(50937) 김해시 식만로 388
김해시,장유1동행정복지센터,장유1동,055-359-7591,(50974) 김해시 금관대로 579
김해시,장유2동행정복지센터,장유2동,055-359-7871,(50986) 김해시 능동로 43
김해시,장유3동행정복지센터,장유3동,055-359-8945,(51005) 김해시 관동로 25
밀양시,,,,(50420) 밀양시 밀양대로 2047 (교동)
밀양시,삼랑진읍행정복지센터,삼랑진읍,055-359-6507,(50467) 밀양시 삼랑진읍 외송중앙길 6
밀양시,하남읍행정복지센터,하남읍,055-359-6553,(50460) 밀양시 하남읍 수산중앙로 53
밀양시,부북면행정복지센터,부북면,055-359-6565,(50402) 밀양시 부북면 부북로 28
밀양시,상동면행정복지센터,상동면,055-359-6597,(50409) 밀양시 상동면 상동로 554
밀양시,산외면행정복지센터,산외면,055-359-6626,(50411) 밀양시 산외면 산외로 427
밀양시,산내면행정복지센터,산내면,055-359-6658,(50414) 밀양시 산내면 산내로 322
밀양시,단장면행정복지센터,단장면,055-359-6683,(50417) 밀양시 단장면 표충로 359
밀양시,상남면행정복지센터,상남면,055-359-6735,(50449) 밀양시 상남면 상남로 1031
밀양시,초동면행정복지센터,초동면,055-359-6747,(50455) 밀양시 초동면 초동로 111
밀양시,무안면행정복지센터,무안면,055-359-6792,(50408) 밀양시 무안면 동부1길 13
밀양시,청도면행정복지센터,청도면,055-359-6809,(50400) 밀양시 청도면 청도로 100
밀양시,내일동행정복지센터,내일동,055-359-6843,(50431) 밀양시 중앙로 346
밀양시,내이동행정복지센터,내이동,055-359-6877,(50423) 밀양시 중앙로 425-4
밀양시,교동행정복지센터,교동,055-359-6903,(50420) 밀양시 교동로 189
밀양시,삼문동행정복지센터,삼문동,055-359-6945,(50438) 밀양시 미리벌중앙로1길 12-1
밀양시,가곡동행정복지센터,가곡동,055-359-6968,(50442) 밀양시 가곡14길 4
거제시,,,,(53257) 거제시 계룡로 125 (고현동) 
거제시,일운면사무소,일운면,055-639-6472,(53328) 거제시 일운면 지세포4길 7
거제시,동부면사무소,동부면,055-639-6507,(53331) 거제시 동부면 동부로 16
거제시,남부면사무소,남부면,055-639-6539,(53333) 거제시 남부면 남부해안로 30
거제시,거제면사무소,거제면,055-639-6569,(53286) 거제시 거제면 서상길 1
거제시,둔덕면사무소,둔덕면,055-639-6597,(53281) 거제시 둔덕면 거제남서로 4620
거제시,사등면사무소,사등면,055-639-6644,(53276) 거제시 사등면 성포로 104
거제시,연초면사무소,연초면,055-639-6668,(53212) 거제시 연초면 죽토로 11
거제시,하청면사무소,하청면,055-639-6699,(53204) 거제시 하청면 하청로 12-7
거제시,장목면사무소,장목면,055-639-6729,(53201) 거제시 장목면 장동1길 46-1
거제시,장승포동주민센터,장승포동,055-639-6767,(53320) 거제시 장승로 146-25
거제시,능포동주민센터,능포동,055-639-6802,(53313) 거제시 능포로 182
거제시,아주동주민센터,아주동,055-639-6828,(53310) 거제시 탑곡로 73
거제시,옥포1동주민센터,옥포1동,055-639-6852,(53231) 거제시 옥포로2길 7
거제시,옥포2동행정복지센터,옥포2동,055-639-6881,(53224) 거제시 옥포로25길 20
거제시,장평동주민센터,장평동,055-639-6912,(53268) 거제시 장평3로 10
거제시,고현동주민센터,고현동,055-639-6942,(53256) 거제시 거제중앙로13길 24
거제시,상문동주민센터,상문동,055-639-6967,(53294) 거제시 거제중앙로 1641
거제시,수양동주민센터,수양동,055-639-6986,(53241) 거제시 제산로5길 26
양산시,,,,(50624) 양산시 중앙로 39 (남부동)
양산시,물금읍행정복지센터,물금읍,055-392-7084,(50656) 양산시 물금읍 황산로 384
양산시,동면행정복지센터,동면,055-392-7142,(50644) 양산시 동면 내송로 37
양산시,원동면행정복지센터,원동면,055-392-7163,(50587) 양산시 원동면 원동마을길 36
양산시,상북면행정복지센터,상북면,055-392-7232,(50558) 양산시 상북면 상북중앙로 398
양산시,하북면행정복지센터,하북면,055-392-7292,(50503) 양산시 하북면 신평강변5길 12
양산시,중앙동행정복지센터,중앙동,055-392-7342,(50618) 양산시 북안남5길 21(북부동)
양산시,양주동행정복지센터,양주동,055-392-7482,(50626) 양산시 양주로 130(중부동)
양산시,삼성동행정복지센터,삼성동,055-392-7382,(50574) 양산시 신기서길 27(신기동)
양산시,강서동행정복지센터,강서동,055-392-7422,(50593) 양산시 교동1길 18(교동)
양산시,서창동행정복지센터,서창동,055-392-6732,(50527) 양산시 서창로 194(삼호동)
양산시,소주동행정복지센터,소주동,055-392-6782,(50514) 양산시 소주회야1길 5-26(소주동)
양산시,평산동행정복지센터,평산동,055-392-6842,(50541) 양산시 평산로 71(평산동)
양산시,덕계동행정복지센터,덕계동,055-392-6873,(50554) 양산시 번영로 35(덕계동)
의령군,,,,(52140) 의령군 의령읍 충익로 63
의령군,의령읍행정복지센터,의령읍,055-570-4343,(52140) 의령군 의령읍 의병로19길 15
의령군,가례면사무소,가례면,055-570-4422,(52137) 의령군 가례면 새가례로 40
의령군,칠곡면행정복지센터,칠곡면,055-570-4452,(52134) 의령군 칠곡면 칠곡로 33
의령군,대의면사무소,대의면,055-570-4502,(52135) 의령군 대의면 대의로 42
의령군,화정면사무소,화정면,055-570-4543,(52157) 의령군 화정면 화정로 294
의령군,용덕면사무소,용덕면,055-570-4582,(52127) 의령군 용덕면 용암로1길 4
의령군,정곡면행정복지센터,정곡면,055-570-4612,(52125) 의령군 정곡면 법정로 932-7
의령군,지정면사무소,지정면,055-570-4662,(52117) 의령군 지정면 함의로5길 8
의령군,낙서면사무소,낙서면,055-570-4703,(52108) 의령군 낙서면 낙서로 509-3
의령군,부림면행정복지센터,부림면,055-570-4732,(52104) 의령군 부림면 대한로 1761
의령군,봉수면사무소,봉수면,055-570-4803,(52111) 의령군 봉수면 대한로 1188
의령군,궁류면사무소,궁류면,055-570-4843,(52112) 의령군 궁류면 궁류로 124
의령군,유곡면사무소,유곡면,055-570-4883,(52113) 의령군 유곡면 마장로 10
함안군,,,,(52043) 함안군 가야읍 말산로 1
함안군,가야읍행정복지센터,가야읍,055-580-4601,(52043) 함안군 가야읍 함안대로 505
함안군,칠원읍행정복지센터,칠원읍,055-580-3831,(52017) 함안군 칠원읍 원서로 4
함안군,함안면사무소,함안면,055-580-3161,(52051) 함안군 함안면 성산로 15
함안군,군북면사무소,군북면,055-580-3261,(52065) 함안군 군북면 지두2길 15
함안군,법수면 행정복합센터,법수면,055-580-3361,(52056) 함안군 법수면 우거북길 16-3
함안군,대산면사무소,대산면,055-580-3461,(52011) 함안군 대산면 대산중앙로 176
함안군,칠서면사무소,칠서면,055-580-3561,(52014) 함안군 칠서면 청계2길 35
함안군,칠북면사무소,칠북면,055-580-3661,(52006) 함안군 칠북면 칠북로 32
함안군,산인면사무소,산인면,055-580-3861,(52049) 함안군 산인면 가야로 211
함안군,여항면사무소,여항면,055-580-3991,(52073) 함안군 여항면 여항로 50
창녕군,,,,(50317) 창녕군 창녕읍 군청길 1
창녕군,창녕읍사무소,창녕읍,055-530-6513,(50328) 창녕군 창녕읍 종로 38-9
창녕군,남지읍사무소,남지읍,055-530-6574,(50359) 창녕군 남지읍 낙동로 483
창녕군,고암면사무소,고암면,055-530-6633,(50315) 창녕군 고암면 고암성산대로 8
창녕군,성산면사무소,성산면,055-530-6673,(50313) 창녕군 성산면 이천길 6
창녕군,대합면사무소,대합면,055-530-6713,(50311) 창녕군 대합면 도장골길 5
창녕군,이방면사무소,이방면,055-530-6755,(50301) 창녕군 이방면 이방로 639
창녕군,유어면사무소,유어면,055-530-6794,(50305) 창녕군 유어면 우포1대로 583
창녕군,대지면사무소,대지면,055-530-6833,(50316) 창녕군 대지면 우포2로 975
창녕군,계성면사무소,계성면,055-530-6873,(50340) 창녕군 계성면 영산계성로 256
창녕군,영산면사무소,영산면,055-530-6914,(50347) 창녕군 영산면 로터리길 15
창녕군,장마면사무소,장마면,055-530-6953,(50341) 창녕군 장마면 강리길 23
창녕군,도천면사무소,도천면,055-530-6994,(50349) 창녕군 도천면 도천3길 5
창녕군,길곡면사무소,길곡면,055-530-7034,(50363) 창녕군 길곡면 증산2길 19
창녕군,부곡면사무소,부곡면,055-530-7074,(50365) 창녕군 부곡면 부곡로 65
고성군,,,,(52943) 고성군 고성읍 성내로 130 
고성군,고성읍사무소,고성읍,055-670-5883,(52936) 고성군 고성읍 송학로 93
고성군,삼산면사무소,삼산면,055-670-5063,(52959) 고성군 삼산면 공룡로 2137
고성군,하일면사무소,하일면,055-670-5113,(52956) 고성군 하일면 공룡로 979
고성군,하이면사무소,하이면,055-670-5163,(52961) 고성군 하이면 공룡로 1
고성군,상리면사무소,상리면,055-670-5213,(52951) 고성군 상리면 척번정길 105
고성군,대가면사무소,대가면,055-670-5263,(52928) 고성군 대가면 대가로 471
고성군,영현면사무소,영현면,055-670-5313,(52906) 고성군 영현면 대가로 1681
고성군,영오면사무소,영오면,055-670-5391,(52901) 고성군 영오면 영산1길 7
고성군,개천면사무소,개천면,055-670-5413,(52904) 고성군 개천면 옥천로 1278
고성군,구만면사무소,구만면,055-670-5463,(52908) 고성군 구만면 영회로 1765
고성군,회화면사무소,회화면,055-670-5526,(52915) 고성군 회화면 배둔로 80
고성군,마암면사무소,마암면,055-670-5563,(52911) 고성군 마암면 옥천로 247
고성군,동해면사무소,동해면,055-670-5613,(52918) 고성군 동해면 장기3길 100
고성군,거류면사무소,거류면,055-670-5653,(52925) 고성군 거류면 당동3길 5
남해군,,,,(52425) 남해군 남해읍 망운로9번길 12 
남해군,남해읍행정복지센터,남해읍,055-860-8012,(52420) 남해군 남해읍 남해읍 화전로 81　
남해군,이동면행정복지센터,이동면,055-860-8062,(52431) 남해군 이동면 무림로 76　
남해군,상주면행정복지센터,상주면,055-860-8112,(52440) 남해군 상주면 남해대로 705
남해군,삼동면행정복지센터,삼동면,055-860-8162,(52444) 남해군 삼동면 동부대로1876번길 12
남해군,미조면행정복지센터,미조면,055-860-8212,(52442) 남해군 미조면 미송로 60　
남해군,남면행정복지센터,남면,055-860-8262,(52437) 남해군 남면 남서대로 778
남해군,서면행정복지센터,서면,055-860-8312,(52410) 남해군 서면 스포츠로 676
남해군,고현면행정복지센터,고현면,055-860-8362,(52404) 남해군 고현면 탑동로 42
남해군,설천면행정복지센터,설천면,055-860-8412,(52401) 남해군 설천면 설천로 695　
남해군,창선면행정복지센터,창선면,055-860-8462,(52453) 남해군 창선면 창선로97번길 6　　
하동군,,,,(52333) 하동군 하동읍 군청로 23 
하동군,하동읍사무소,하동읍,055-880-6041,(52326) 하동군 하동읍 중앙로 70
하동군,화개면사무소,화개면,055-880-6076,(52303) 하동군 화개면 쌍계로 71-9
하동군,악양면사무소,악양면,055-880-6106,(52305) 하동군 악양면 악양서로 357
하동군,적량면사무소,적량면,055-880-6136,(52321) 하동군 적량면 대티길 9
하동군,횡천면사무소,횡천면,055-880-6166,(52319) 하동군 횡천면 경서대로 1175-3
하동군,고전면사무소,고전면,055-880-6196,(52340) 하동군 고전면 하동읍성로 349
하동군,금남면사무소,금남면,055-880-6226,(52352) 하동군 금남면 미법마을길 10
하동군,금성면사무소,금성면,055-880-6256,(52353) 하동군 금성면 신도길 149
하동군,진교면사무소,진교면,055-880-6291,(52345) 하동군 진교면 민다리안길 62
하동군,양보면사무소,양보면,055-880-6326,(52336) 하동군 양보면 진양로 736
하동군,북천면사무소,북천면,055-880-6356,(52318) 하동군 북천면 경서대로 2451
하동군,청암면사무소,청암면,055-880-6386,(52310) 하동군 청암면 청학로 672
하동군,옥종면사무소,옥종면,055-880-6416,(52313) 하동군 옥종면 덕천로 3
산군,,,,(52221) 산청군 산청읍 산엔청로 1
산군,산청읍행정복지센터,산청읍,055-970-8012,(52224) 산청군 산청읍 산엔청로 42
산군,차황면사무소,차황면,055-970-8062,(52208) 산청군 차황면 친환경로 3581
산군,오부면사무소,오부면,055-970-8112,(52205) 산청군 오부면 산수로 541
산군,생초면사무소,생초면,055-970-8162,(52203) 산청군 생초면 생초로 58
산군,금서면사무소,금서면,055-970-8212,(52215) 산청군 금서면 친환경로 2536
산군,삼장면사무소,삼장면,055-970-8263,(52235) 산청군 삼장면 덕산대포로 257
산군,시천면사무소,시천면,055-970-8313,(52234) 산청군 시천면 남명2길 21
산군,단성면사무소,단성면,055-970-8363,(52251) 산청군 단성면 목화로 985
산군,신안면사무소,신안면,055-970-8413,(52249) 산청군 신안면 원지로 11-15
산군,생비량면사무소,생비량면,055-970-8462,(52256) 산청군 생비량면 비량로 38
산군,신등면사무소,신등면,055-970-8512,(52257) 산청군 신등면 신차로 576
함양군,,,,(50036) 함양군 함양읍 고운로 35 
함양군,함양읍행정복지센터,함양읍,055-960-8430,(50041) 함양군 함양읍 학사루길 11
함양군,마천면사무소,마천면,055-960-8520,(50055) 함양군 마천면 당흥길 15
함양군,휴천면사무소,휴천면,055-960-8570,(50052) 함양군 휴천면 목현옥매로 3
함양군,유림면사무소,유림면,055-960-8620,(50051) 함양군 유림면 천왕봉로 2872-3
함양군,수동면사무소,수동면,055-960-8670,(50022) 함양군 수동면 수동길 27
함양군,지곡면사무소,지곡면,055-960-8720,(50018) 함양군 지곡면 함양로 1882
함양군,안의면사무소,안의면,055-960-8770,(50009) 함양군 안의면 금성길 7
함양군,서하면사무소,서하면,055-960-8820,(50003) 함양군 서하면 함양남서로 3937
함양군,서상면사무소,서상면,055-960-8870,(50001) 함양군 서상면 서상로 260
함양군,백전면사무소,백전면,055-960-8920,(50025) 함양군 백전면 구산대안로 10-3
함양군,병곡면사무소,병곡면,055-960-8970,(50027) 함양군 병곡면 함양남서로 1756
거창군,,,,(50132) 거창군 거창읍 중앙로 103 
거창군,거창읍 행정복지센터,거창읍,055-940-7280,(50131) 거창군 거창읍 거열로 90
거창군,주상면 행정복지센터,주상면,055-940-7370,(50115) 거창군 주상면 주곡로 655
거창군,웅양면 행정복지센터,웅양면,055-940-7420,(50113) 거창군 웅양면 웅양로 1431
거창군,고제면 행정복지센터,고제면,055-940-7470,(50111) 거창군 고제면 입석1길 14
거창군,북상면 행정복지센터,북상면,055-940-7520,(50102) 거창군 북상면 덕유월성로 2315
거창군,위천면 행정복지센터,위천면,055-940-7570,(50103) 거창군 위천면 원학길 324
거창군,마리면 행정복지센터,마리면,055-940-7620,(50109) 거창군 마리면 빼재로 18
거창군,남상면 행정복지센터,남상면,055-940-7670,(50148) 거창군 남상면 인평길 36
거창군,남하면 행정복지센터,남하면,055-940-7720,(50123) 거창군 남하면 영서로 41
거창군,신원면 행정복지센터,신원면,055-940-7770,(50153) 거창군 신원면 신차로 3067
거창군,가조면 행정복지센터,가조면,055-940-7820,(50118) 거창군 가조면 장군봉1길 8
거창군,가북면 행정복지센터,가북면,055-940-7870,(50117) 거창군 가북면 용암로 17-16
합천군,,,,(50231) 합천군 합천읍 동서로 119
합천군,합천읍사무소,합천읍,055-930-5342,(50235) 합천군 합천읍 중앙로 61
합천군,봉산면사무소,봉산면,055-930-5392,(50211) 합천군 봉산면 김봉길 17
합천군,묘산면사무소,묘산면,055-930-5432,(50209) 합천군 묘산면 묘산로 173-1
합천군,가야면사무소,가야면,055-930-5472,(50201) 합천군 가야면 가야시장로 92
합천군,야로면사무소,야로면,055-930-5512,(50206) 합천군 야로면 향교길 20
