"id","시군","시설명","경위도X좌표","경위도Y좌표","정제도로명주소","정제지번주소","소재지","시설종류","시설분류","정원","대분류","소분류","대분류2","소분류2","대분류3","소분류3","homepage","tel","created_at","updated_at"
11,경상남도 의령군,성로관,"128.1266472","35.34479119",경남 의령군 대의면 망용로 471,경남 의령군 대의면 천곡리 418,대의면 망용로 471,양로시설,생활시설,"28","4. 주거","1-4. 일상생활 관련 비용지원","3. 정신적 건강","1-4. 일상생활 관련 비용지원","4. 주거","1-4. 일상생활 관련 비용지원",없음,"055-572-9697","2026-04-01 07:55:49","2026-04-04 13:48:04"
12,경상남도 함안군,함안양로원,"128.4324431","35.34881116",경남 함안군 대산면 대산중앙로 147-26,경남 함안군 대산면 평림리 1040-2,함안군 대산면 대산중앙로 147-26,양로시설,생활시설,"70","4. 주거","4-2. 주거지 제공 및 이주 지원","5. 돌봄","5-2. 시설보호","2. 신체적 건강","2-1. 건강증진",없음,"055-582-9191","2026-04-01 07:55:49","2026-04-04 13:48:04"
13,경상남도 창녕군,덕인러브힐,"128.4519693","35.54038884",경남 창녕군 대지면 대초길 36-28,경남 창녕군 대지면 본초리산 35,대지면 대초길 36-28,양로시설,생활시설,"70","4. 주거","1-2. 주거관련 비용지원","2. 신체적 건강","1-4. 일상생활 관련 비용지원","5. 돌봄","1-5. 보호·돌봄·요양 관련 비용지원",http://www.dukinhill.com/,"055-532-7686","2026-04-01 07:55:49","2026-04-04 13:48:04"
14,경상남도 남해군,화방동산양로원,"127.8689537","34.86635546",경남 남해군 고현면 화방로211번길 81-35,경남 남해군 고현면 대곡리 1152-1,남해군 고현면 화방로211번길 81-35,양로시설,생활시설,"50","5. 돌봄","5-1. 일상생활 유지·돌봄지원","5. 돌봄","5-2. 시설보호","2. 신체적 건강","2-1. 건강증진",http://www.hwabang.org/,"055-863-2286","2026-04-01 07:55:49","2026-04-04 13:48:04"
15,경상남도 하동군,중촌공동생활가정,"127.8727184","35.12834961",경남 하동군 북천면 중촌길 50,경남 하동군 북천면 서황리 918-1,북천면 중촌길 50,노인공동생활가정,생활시설,"5","1.경제(현금중심)","1-2. 주거관련 비용지원","1.경제(현금중심)","1-4. 일상생활 관련 비용지원","4. 주거","4-1. 주거환경관리",없음,없음,"2026-04-01 07:55:49","2026-04-04 13:48:04"
16,경상남도 하동군,방화공동생활가정,"127.8510586","35.11531098",경남 하동군 북천면 금촌길 14-5,경남 하동군 북천면 방화리 600-6,북천면 금촌길 14-5,노인공동생활가정,생활시설,"5","1.경제(현금중심)","1-2. 주거관련 비용지원","1.경제(현금중심)","1-4. 일상생활 관련 비용지원","4. 주거","4-1. 주거환경관리",없음,없음,"2026-04-01 07:55:49","2026-04-04 13:48:04"
17,경상남도 산청군,산청복음실버타운,"127.931377","35.33022401",경남 산청군 단성면 강누방목로401번길 79,경남 산청군 단성면 방목리 268-1,경상남도 산청군 단성면 강누방목로 401번길 79,노인요양시설,생활시설,"84","5. 돌봄","5-2. 시설보호","4. 주거","4-2. 주거지 제공 및 이주 지원","8. 관계","8-1. 상담 및 정신건강 프로그램 ",http://sgst.or.kr/,"055-973-0880","2026-04-01 07:55:49","2026-04-04 13:48:04"
18,경상남도 산청군,산청복음전문요양원,"127.931377","35.33022401",경남 산청군 단성면 강누방목로401번길 79,경남 산청군 단성면 방목리 268-1,경상남도 산청군 단성면 강누방목로401번길 79,노인요양시설,생활시설,"98","5. 돌봄","5-2. 시설보호","4. 주거","4-2. 주거지 제공 및 이주 지원","8. 관계","8-1. 상담 및 정신건강 프로그램 ",http://ssgh.or.kr/,"055-973-3000","2026-04-01 07:55:49","2026-04-04 13:48:04"
19,경상남도 산청군,산청선문노인요양원,"128.0441566","35.34597352",경남 산청군 생비량면 비량로 29,경남 산청군 생비량면 도리 646-27,경상남도 산청군 생비량면 비량로 29,노인요양시설,생활시설,"16","5. 돌봄","5-2. 시설보호","4. 주거","4-2. 주거지 제공 및 이주 지원","8. 관계","8-1. 상담 및 정신건강 프로그램 ",https://cafe.naver.com/haeminsilver#,"055-974-1992","2026-04-01 07:55:49","2026-04-04 13:48:04"
20,경상남도 산청군,산청성모요양원,"127.8480213","35.40500794",경남 산청군 금서면 친환경로 2016,경남 산청군 금서면 평촌리 289,경상남도 산청군 금서면 친환경로 2016,노인요양시설,생활시설,"99","5. 돌봄","5-2. 시설보호","4. 주거","4-2. 주거지 제공 및 이주 지원","8. 관계","8-1. 상담 및 정신건강 프로그램 ",http://www.koryeo.or.kr/,"055-974-0093","2026-04-01 07:55:49","2026-04-04 13:48:04"
21,경상남도 산청군,산청한방실버타운,"127.8480213","35.40500794",경남 산청군 금서면 친환경로 2016,경남 산청군 금서면 평촌리 289,경상남도 산청군 금서면 친환경로 2016,노인요양시설,생활시설,"76","5. 돌봄","5-2. 시설보호","4. 주거","4-2. 주거지 제공 및 이주 지원","8. 관계","8-1. 상담 및 정신건강 프로그램 ",http://www.koryeo.or.kr,"055-974-0094","2026-04-01 07:55:49","2026-04-04 13:48:04"
22,경상남도 산청군,산청우리요양원,"127.9433076","35.29361404",경남 산청군 단성면 사직단로257번길 8-7,경남 산청군 단성면 사월리 1138-6,경상남도 산청군 단성면 사직단로257번길 8-7,노인요양시설,생활시설,"68","5. 돌봄","5-2. 시설보호","4. 주거","4-2. 주거지 제공 및 이주 지원","8. 관계","8-1. 상담 및 정신건강 프로그램 ",http://www.withangel.co.kr,"055-974-0980","2026-04-01 07:55:49","2026-04-04 13:48:04"
23,경상남도 산청군,산청예심소규모노인종합센터,"127.8469013","35.43768707",경남 산청군 금서면 동의보감로312번길 11-10,경남 산청군 금서면 특리 900-1,경상남도 산청군 금서면 동의보감로312번길 11-10,노인요양시설,생활시설,"21","5. 돌봄","5-2. 시설보호","4. 주거","4-2. 주거지 제공 및 이주 지원","8. 관계","8-1. 상담 및 정신건강 프로그램 ",http://caf?.daum.net/ys0675,"055-974-0675","2026-04-01 07:55:49","2026-04-04 13:48:04"
24,경상남도 산청군,한일노인요양원,"127.8762905","35.4113468",경남 산청군 산청읍 웅석봉로67번길 24,경남 산청군 산청읍 옥산리 78,경상남도 산청군 산청읍 웅석봉로67번길 24,노인요양시설,생활시설,"94","5. 돌봄","5-2. 시설보호","4. 주거","4-2. 주거지 제공 및 이주 지원","8. 관계","8-1. 상담 및 정신건강 프로그램 ",http://www.hanill.or.kr/,"055-974-1204","2026-04-01 07:55:49","2026-04-04 13:48:04"
25,경상남도 산청군,산청요양원,"127.8685771","35.42331889",경남 산청군 금서면 친환경로2605번길 69 1층,경남 산청군 금서면 매촌리 295,"경상남도 산청군 금서면 친환경로2605번길 69, 1층",노인요양시설,생활시설,"29","5. 돌봄","5-2. 시설보호","4. 주거","4-2. 주거지 제공 및 이주 지원","8. 관계","8-1. 상담 및 정신건강 프로그램 ",없음,"055-983-1000","2026-04-01 07:55:49","2026-04-04 13:48:04"
26,경상남도 산청군,한사랑실버타운,"128.0660378","35.36290852",경남 산청군 생비량면 비량로 411-7,경남 산청군 생비량면 가계리 1023,경상남도 산청군 생비량면 비량로 411-7,노인요양시설,생활시설,"0","5. 돌봄","5-2. 시설보호","4. 주거","4-2. 주거지 제공 및 이주 지원","8. 관계","8-1. 상담 및 정신건강 프로그램 ",없음,"055-973-5457","2026-04-01 07:55:49","2026-04-04 13:48:04"
27,경상남도 산청군,라온제나복지센터노인그룹홈,"127.8323117","35.30200021",경남 산청군 삼장면 친환경로372번길 7,경남 산청군 삼장면 대포리 26-4,경상남도 산청군 삼장면 친환경로372번길 7,노인요양공동생활가정,생활시설,"9","5. 돌봄","5-2. 시설보호","4. 주거","4-2. 주거지 제공 및 이주 지원","8. 관계","8-1. 상담 및 정신건강 프로그램 ",산청주간보호.kr,"055-974-1155","2026-04-01 07:55:49","2026-04-04 13:48:04"
28,경상남도 함양군,지리산노인요양원,"127.7906039","35.46614089",경남 함양군 유림면 천왕봉로 2877-17,경남 함양군 유림면 화촌리 288-12,유림면 천왕봉로 2877-17,노인요양시설,생활시설,"90","5. 돌봄","5-2. 시설보호","","","","",noin6252@daum.net,"055-963-3114","2026-04-01 07:55:49","2026-04-04 13:48:04"
29,경상남도 함양군,이레소망의집,"127.8559062","35.65024691",경남 함양군 안의면 황마로 886,경남 함양군 안의면 초동리 1109,안의면 황마로 886,노인요양시설,생활시설,"76","5. 돌봄","5-2. 시설보호","","","","",hyerewon.co.kr,"055-962-0659","2026-04-01 07:55:49","2026-04-04 13:48:04"
30,경상남도 함양군,함양은혜의집,"127.6865767","35.41433577",경남 함양군 마천면 천왕봉로 1449-15,경남 함양군 마천면 구양리 721,마천면 천왕봉로 1449-15,노인요양시설,생활시설,"70","5. 돌봄","5-2. 시설보호","","","","",http://함양은혜의집.kr ,"055-962-5078","2026-04-01 07:55:49","2026-04-04 13:48:04"
31,경상남도 함양군,오봉산무지개마을,"127.6489816","35.47607397",경남 함양군 함양읍 함양로 179-150,경남 함양군 함양읍 죽림리 1374,함양읍 함양로 179-150,노인요양시설,생활시설,"40","5. 돌봄","5-2. 시설보호","","","","",http://오봉산무지개마을.kr/,"055-962-2936","2026-04-01 07:55:49","2026-04-04 13:48:04"
32,경상남도 함양군,연꽃노인요양원,"127.7188437","35.50745024",경남 함양군 함양읍 함양로 983-17,경남 함양군 함양읍 백연리 143-7,함양읍 함양로 983-17,노인요양시설,생활시설,"88","5. 돌봄","5-2. 시설보호","","","","",http://care.lotusflower.or.kr ,"055-964-5577","2026-04-01 07:55:49","2026-04-04 13:48:04"
33,경상남도 함양군,다볕골노인요양원,"127.6716978","35.46981593",경남 함양군 함양읍 삼봉로 442-14,경남 함양군 함양읍 죽림리 817-7,함양읍 삼봉로 442-14,노인요양시설,생활시설,"28","5. 돌봄","5-2. 시설보호","","","","",http://dabyeot.com/ ,"055-964-2517","2026-04-01 07:55:49","2026-04-04 13:48:04"
34,경상남도 함양군,상림노인요양원,"127.7586295","35.52385222",경남 함양군 함양읍 고운로 374-32,경남 함양군 함양읍 백천리 1501,함양읍 고운로 374-32,노인요양시설,생활시설,"66","5. 돌봄","5-2. 시설보호","","","","",http://cafe.daum.net/sangrimbokji ,"055-963-9956","2026-04-01 07:55:49","2026-04-04 13:48:04"
35,경상남도 함양군,세진요양원,"127.7163809","35.51358525",경남 함양군 함양읍 삼휴길 29-4 2층,경남 함양군 함양읍 백연리 673,함양읍 삼휴길 29-4 2층,노인요양시설,생활시설,"28","5. 돌봄","5-2. 시설보호","","","","",http://blog.naver.com/yoyang1004 ,"055-964-6789","2026-04-01 07:55:49","2026-04-04 13:48:04"
36,경상남도 함양군,유성케어링,"127.7548575","35.52735435",경남 함양군 함양읍 고운로 323,경남 함양군 함양읍 백천리 1692,함양읍 고운로 323,노인요양시설,생활시설,"40","5. 돌봄","5-2. 시설보호","","","","",http://유성케어링.kr ,"055-964-8383","2026-04-01 07:55:49","2026-04-04 13:48:04"
37,경상남도 거창군,거창노인전문요양원,"127.8879577","35.684207",경남 거창군 거창읍 거안로 1266-43 거창노인전문요양원,경남 거창군 거창읍 송정리 941-2,"경상남도 거창군 거창읍 거안로  1266-43 (거창읍, 거창노인전문요양원)",노인요양시설,생활시설,"86","5. 돌봄","5-2. 시설보호","","","","",없음,"055-943-7007","2026-04-01 07:55:49","2026-04-04 13:48:04"
38,경상남도 거창군,베푸는 공동체,"128.070915","35.70983356",경남 거창군 가조면 가조가야로 1629-82,경남 거창군 가조면 도리 7-1,경상남도 거창군 가조면 가조가야로  1629-82 (가조면),노인요양시설,생활시설,"28","5. 돌봄","5-2. 시설보호","","","","",없음,"055-941-0691","2026-04-01 07:55:49","2026-04-04 13:48:04"
39,경상남도 거창군,성은실버타운,"127.9159667","35.68651105",경남 거창군 거창읍 거창대로 55(성은주상복합빌딩) 6층,경남 거창군 거창읍 대동리 931-3,"경상남도 거창군 거창읍 거창대로  55 6층 (거창읍, 성은주상복합빌딩)",노인요양시설,생활시설,"29","5. 돌봄","5-2. 시설보호","","","","",없음,"055-945-3771","2026-04-01 07:55:49","2026-04-04 13:48:04"
40,경상남도 거창군,에덴실버요양원,"127.8707036","35.68712125",경남 거창군 마리면 거안로 1048,경남 거창군 마리면 하고리 118-3,경상남도 거창군 마리면 거안로  1048 (마리면),노인요양시설,생활시설,"51","5. 돌봄","5-2. 시설보호","","","","",없음,"055-942-8480","2026-04-01 07:55:49","2026-04-04 13:48:04"
41,경상남도 거창군,아림노인요양원,"127.8903385","35.67559741",경남 거창군 거창읍 운정3길 179,경남 거창군 거창읍 송정리 719-10,경상남도 거창군 거창읍 운정3길  179 (거창읍),노인요양시설,생활시설,"60","5. 돌봄","5-2. 시설보호","","","","",없음,"055-944-8600","2026-04-01 07:55:49","2026-04-04 13:48:04"
42,경상남도 거창군,엘림의 집,"127.8531561","35.73621887",경남 거창군 마리면 빼재로 419,경남 거창군 마리면 율리 743,경상남도 거창군 마리면 빼재로  419 (마리면),노인요양시설,생활시설,"29","5. 돌봄","5-2. 시설보호","","","","",없음,"055-941-0557","2026-04-01 07:55:49","2026-04-04 13:48:04"
43,경상남도 거창군,인애노인요양원,"127.8926045","35.68083849",경남 거창군 거창읍 절부길 42-73 1층,경남 거창군 거창읍 송정리 805,경상남도 거창군 거창읍 절부길  42-73 1층 (거창읍),노인요양시설,생활시설,"29","5. 돌봄","5-2. 시설보호","","","","",없음,"055-945-2130","2026-04-01 07:55:49","2026-04-04 13:48:04"
44,경상남도 거창군,복민노인요양원,"128.0140107","35.70543966",경남 거창군 가조면 방촌길 76-17,경남 거창군 가조면 마상리 45,경상남도 거창군 가조면 방촌길  76-17 (가조면),노인요양시설,생활시설,"83","5. 돌봄","5-2. 시설보호","","","","",없음,"055-942-0135","2026-04-01 07:55:49","2026-04-04 13:48:04"
45,경상남도 거창군,거창시니어카운티,"127.9252192","35.56249424","경남 거창군 신원면 신차로  2997 (신원면, 공립 치매전담형 노인요양시설)",경남 거창군 신원면 과정리 253,"경상남도 거창군 신원면 신차로  2997 (신원면, 공립 치매전담형 노인요양시설)",노인요양시설,생활시설,"100","5. 돌봄","5-2. 시설보호","","","","",없음,"055-943-7779","2026-04-01 07:55:49","2026-04-04 13:48:04"
46,경상남도 합천군,합천군립노인전문요양원,"128.2466189","35.55971753",경남 합천군 초계면 우회로 72-14,경남 합천군 초계면 대동리 245,경상남도 합천군 초계면 우회로 72-14,노인요양시설,생활시설,"90","5. 돌봄","5-1. 일상생활 유지·돌봄지원","2. 신체적 건강","2-1. 건강증진","3. 정신적 건강","3-1. 정신건강 증진 ",http://hcsilver.or.kr,"055-934-0575","2026-04-01 07:55:49","2026-04-04 13:48:04"
47,경상남도 합천군,합천노인전문요양원,"128.1169813","35.38296805",경남 합천군 삼가면 삼가로 10-13,경남 합천군 삼가면 어전리 438,경상남도 합천군 삼가면 삼가로 10-13,노인요양시설,생활시설,"132","5. 돌봄","5-1. 일상생활 유지·돌봄지원","5. 돌봄","5-2. 시설보호","5. 돌봄","5-3. 경제생활 지원 ",https://cafe.daum.net/hcsilver,"055-931-1012","2026-04-01 07:55:49","2026-04-04 13:48:04"
48,경상남도 합천군,광명노인요양원,"128.0576029","35.79993918",경남 합천군 가야면 치인5길 118,경남 합천군 가야면 치인리 352,경남 합천군 가야면 치인5길 118,노인요양시설,생활시설,"80","5. 돌봄","1-4. 일상생활 관련 비용지원","2. 신체적 건강","1-5. 보호·돌봄·요양 관련 비용지원","3. 정신적 건강","1-2. 주거관련 비용지원",jabee0805@hanmail.net,"055-934-0805","2026-04-01 07:55:49","2026-04-04 13:48:04"
49,경상남도 합천군,노블하임노인전문요양원,"128.1158383","35.56664008",경남 합천군 용주면 연촌우곡길 70,경남 합천군 용주면 월평리 781,경상남도 합천군 용주면 연촌우곡길 70,노인요양시설,생활시설,"92","5. 돌봄","5-1. 일상생활 유지·돌봄지원","2. 신체적 건강","2-1. 건강증진","2. 신체적 건강","2-5. 재활",https://cafe.naver.com/nobleheim,"055-931-8600","2026-04-01 07:55:49","2026-04-04 13:48:04"
50,경상남도 합천군,미타노인요양원,"128.2930046","35.55117764",경남 합천군 적중면 우회로 1198,경남 합천군 적중면 옥두리 630-6,경남 합천군 적중면 우회로 1198,노인요양시설,생활시설,"47","5. 돌봄","5-1. 일상생활 유지·돌봄지원","2. 신체적 건강","2-1. 건강증진","4. 주거","4-1. 주거환경관리",http://www.mitasilver.kr,"055-932-5555","2026-04-01 07:55:49","2026-04-04 13:48:04"
51,경상남도 합천군,에벤에셀노인요양원,"128.156049","35.73516462",경남 합천군 야로면 가야산로 728,경남 합천군 야로면 월광리 245,합천군 야로면 가야산로 728,노인요양시설,생활시설,"70","5. 돌봄","5-2. 시설보호","5. 돌봄","5-1. 일상생활 유지·돌봄지원","5. 돌봄","5-3. 경제생활 지원 ",www.eben1004.or.kr,"055-933-2917","2026-04-01 07:55:49","2026-04-04 13:48:04"
52,경상남도 창원시,동진노인통합지원센터,"128.6571503","35.31238579",경남 창원시 의창구 동읍 동읍로 517-14,경남 창원시 의창구 동읍 석산리 493-1,경상남도 창원시 의창구 동읍 동읍로  517-14 (동읍),재가노인지원서비스,이용시설,"","5. 돌봄","1-5. 보호·돌봄·요양 관련 비용지원","2. 신체적 건강","2-1. 건강증진","3. 정신적 건강","3-1. 정신건강 증진 ",없음,"055-256-9944","2026-04-01 07:55:49","2026-04-04 13:48:04"
53,경상남도 창원시,동진소규모노인종합센터,"128.6571503","35.31238579",경남 창원시 의창구 동읍 동읍로 517-14,경남 창원시 의창구 동읍 석산리 493-1,경상남도 창원시 의창구 동읍 동읍로  517-14 (동읍),주야간보호서비스시설,이용시설,"","5. 돌봄","1-5. 보호·돌봄·요양 관련 비용지원","2. 신체적 건강","2-1. 건강증진","3. 정신적 건강","3-1. 정신건강 증진 ","
 http://www.dongjin.org  ","055-299-2233","2026-04-01 07:55:49","2026-04-04 13:48:04"
54,경상남도 창원시,창원성심재가노인복지센터,"128.5750578","35.35017553",경남 창원시 의창구 북면 단내로 499-52,경남 창원시 의창구 북면 내곡리 1234-14,경상남도 창원시 의창구 북면 단내로  499-52 (북면),주야간보호서비스시설,이용시설,"","5. 돌봄","1-5. 보호·돌봄·요양 관련 비용지원","2. 신체적 건강","2-1. 건강증진","3. 정신적 건강","3-1. 정신건강 증진 ",http://www.sungsim.or.kr ,"055-299-9973","2026-04-01 07:55:49","2026-04-04 13:48:04"
55,경상남도 창원시,창원성심재가노인복지센터,"128.5750578","35.35017553",경남 창원시 의창구 북면 단내로 499-52,경남 창원시 의창구 북면 내곡리 1234-14,경상남도 창원시 의창구 북면 단내로  499-52 (북면),방문요양서비스시설,이용시설,"","5. 돌봄","1-5. 보호·돌봄·요양 관련 비용지원","2. 신체적 건강","2-1. 건강증진","3. 정신적 건강","3-1. 정신건강 증진 ",http://www.sungsim.or.kr ,"055-299-9973","2026-04-01 07:55:49","2026-04-04 13:48:04"
56,경상남도 창원시,안정재활재가센터,"128.7146743","35.33607922",경상남도 창원시 의창구 대산면 제동길  59-10 (대산면),경남 창원시 의창구 대산면 제동리 190-4,경상남도 창원시 의창구 대산면 제동길  59-10 (대산면),방문목욕서비스시설,이용시설,"","5. 돌봄","1-5. 보호·돌봄·요양 관련 비용지원","2. 신체적 건강","2-1. 건강증진","3. 정신적 건강","3-1. 정신건강 증진 ",없음,"055-292-9300","2026-04-01 07:55:49","2026-04-04 13:48:04"
57,경상남도 창원시,안정재활재가센터,"128.7146493","35.33610346",경상남도 창원시 의창구 대산면 제동길  59-10 (대산면),경남 창원시 의창구 대산면 제동리 190-4,경상남도 창원시 의창구 대산면 제동길  59-10 (대산면),방문요양서비스시설,이용시설,"","5. 돌봄","1-5. 보호·돌봄·요양 관련 비용지원","2. 신체적 건강","2-1. 건강증진","3. 정신적 건강","3-1. 정신건강 증진 ",없음,"055-292-9300","2026-04-01 07:55:49","2026-04-04 13:48:04"
58,경상남도 창원시,안정재활재가센터,"128.7146822","35.33610897",경상남도 창원시 의창구 대산면 제동길  59-10 (대산면),경남 창원시 의창구 대산면 제동리 190-4,경상남도 창원시 의창구 대산면 제동길  59-10 (대산면),주야간보호서비스시설,이용시설,"","5. 돌봄","1-5. 보호·돌봄·요양 관련 비용지원","2. 신체적 건강","2-1. 건강증진","3. 정신적 건강","3-1. 정신건강 증진 ",없음,"055-292-9300","2026-04-01 07:55:49","2026-04-04 13:48:04"
59,경상남도 창원시,창원도우누리 노인통합재가센터,"128.6676907","35.25132037","경남 창원시 의창구 대봉로26번길 4-5(봉림동, YG빌딩) 3층 301호",경남 창원시 의창구 봉림동 712-1,"경상남도 창원시 의창구 대봉로26번길  4-5 3층301호 (봉림동, Y.G빌딩)",주야간보호서비스시설,이용시설,"","5. 돌봄","1-5. 보호·돌봄·요양 관련 비용지원","2. 신체적 건강","2-1. 건강증진","3. 정신적 건강","3-1. 정신건강 증진 ",http://m.blog.naver.com/dounuri27,"055-286-9788","2026-04-01 07:55:49","2026-04-04 13:48:04"
60,경상남도 창원시,창원도우누리 노인통합재가센터,"128.6676907","35.25132037","경남 창원시 의창구 대봉로26번길 4-5(봉림동, YG빌딩) 3층 301호",경남 창원시 의창구 봉림동 712-1,"경상남도 창원시 의창구 대봉로26번길  4-5 3층301호 (봉림동, Y.G빌딩)",방문목욕서비스시설,이용시설,"","5. 돌봄","1-5. 보호·돌봄·요양 관련 비용지원","2. 신체적 건강","2-1. 건강증진","3. 정신적 건강","3-1. 정신건강 증진 ",http://m.blog.naver.com/dounuri27,"055-286-9788","2026-04-01 07:55:49","2026-04-04 13:48:04"
61,경상남도 창원시,창원도우누리 노인통합재가센터,"128.6676907","35.25132037","경남 창원시 의창구 대봉로26번길 4-5(봉림동, YG빌딩) 3층 301호",경남 창원시 의창구 봉림동 712-1,"경상남도 창원시 의창구 대봉로26번길  4-5 3층301호 (봉림동, Y.G빌딩)",방문요양서비스시설,이용시설,"","5. 돌봄","1-5. 보호·돌봄·요양 관련 비용지원","2. 신체적 건강","2-1. 건강증진","3. 정신적 건강","3-1. 정신건강 증진 ",http://m.blog.naver.com/dounuri27,"055-286-9788","2026-04-01 07:55:49","2026-04-04 13:48:04"
62,경상남도 창원시,선일데이케어센터,"128.6785461","35.24721489",경남 창원시 의창구 사림로 53(사림동) 201호 104호 201호304호,경남 창원시 의창구 사림동 105-20,"경상남도 창원시 의창구 사림로  53 201호104호 (사림동, 104호, 201호, 304호)",주야간보호서비스시설,이용시설,"","5. 돌봄","1-5. 보호·돌봄·요양 관련 비용지원","2. 신체적 건강","2-1. 건강증진","3. 정신적 건강","3-1. 정신건강 증진 ","
 http://선일데이케어센터.kr  ","055-261-7573","2026-04-01 07:55:49","2026-04-04 13:48:04"
63,경상남도 창원시,선일데이케어센터,"128.6785461","35.24721489",경남 창원시 의창구 사림로 53(사림동) 201호 104호 201호304호,경남 창원시 의창구 사림동 105-20,"경상남도 창원시 의창구 사림로  53 201호104호 (사림동, 104호, 201호, 304호)",방문요양서비스시설,이용시설,"","5. 돌봄","1-5. 보호·돌봄·요양 관련 비용지원","2. 신체적 건강","2-1. 건강증진","3. 정신적 건강","3-1. 정신건강 증진 ","
 http://선일데이케어센터.kr  ","055-261-7573","2026-04-01 07:55:49","2026-04-04 13:48:04"
